,company,description,est_salary,exp_lvl,link,location,post_time,real_salary_lower,real_salary_upper,title
3748,POLICE DEPARTMENT,"Maintain records of raw data; Coordinator/Lead Scientist, Municipal Storm Sewer Systems position will serve as the coordinator and lead scientist preforming...",90000.0,mid_level,http://www.indeed.com/rc/clk?jk=0855d49c7618e78b&fccid=c36431f1d989663b,"New York, NY",Today,78630.0,103332.0,"Coordinator / Lead Scientist, Municipal Storm Sewer Systems"
3749,Legal Services Corporation,"Identifies potential issues in how data is captured, manipulated, and stored that impact the quality and usability of the data....",90000.0,mid_level,http://www.indeed.com/rc/clk?jk=d905c479b6ea4a05&fccid=6b74217f01b3c5c2,"Washington, DC",Today,89395.0,100688.0,Research Project Coordinator and Data Analyst
3750,Pryor Associates - Pauline Reimer,Test and reconcile data. Predictive Modeling Actuary opening in New Jersey or Pennsylvania....,90000.0,mid_level,http://www.indeed.com/rc/clk?jk=f8e2ce63aaceaeea&fccid=5048a6712682c1c7,Pennsylvania,Today,,,Predictive Modeling Actuary
3751,Intel,"The team supports a multitude of software, data, and diagnostic products to achieve this goal. Performing Design of Experiment (DOE) verification and validation...",90000.0,mid_level,http://www.indeed.com/rc/clk?jk=513a8dfd7679afb6&fccid=f1374be6a45f4b8a,"Phoenix, AZ 85002 (Central City area)",Today,,,Application Engineer / Data Scientist
3752,Dupage Medical Group,3+ years' experience analyzing large data sets. Experience with healthcare data – both clinical and financial....,90000.0,mid_level,http://www.indeed.com/rc/clk?jk=1b54efb6b0ab5ee2&fccid=7c91c4b781cb8588,"Downers Grove, IL",Today,,,Data Scientist-Analytics
3753,TEKSystems,"Extensive knowledge in building data sets, data models and decision engines required. Experience with enterprise data warehouses....",90000.0,mid_level,http://www.indeed.com/rc/clk?jk=cd649083e55c6703&fccid=2dd14c87d68d63d8,"Louisville, KY 40220 (Hikes Point area)",Today,85000.0,105000.0,Statistical Analyst
3754,"Janssen Research & Development, LLC.","Data reporting, ability to present findings to management, and experience with team-based collaborations is required....",90000.0,mid_level,http://www.indeed.com/rc/clk?jk=5e9379502dc50c6a&fccid=53272541f69a168c,"Malvern, PA",Today,,,"Associate Scientist, Mammalian Cell Banking"
3755,S&P GLOBAL MARKET INTELLIGENCE,Validate whether the portfolio data is reasonable given the established business rules and given the client’s historical data profile....,90000.0,mid_level,http://www.indeed.com/rc/clk?jk=2f7637da5025238d&fccid=2c2386465bad2305,"New York, NY 10002 (Lower East Side area)",Today,,,Senior Quantitative Analyst
3756,Ball Aerospace,"First-hand knowledge of electronics used for low voltage power generation and distribution, digital data processing, high speed serial data transmission,...",90000.0,mid_level,http://www.indeed.com/rc/clk?jk=047569615a70407c&fccid=82c5e27e77990fa2,"Boulder, CO",Today,,,Electrical Power System Engineer II (659699) - Security clearance required
3757,Crest Financial,"As a Data Scientist at Crest Financial, your role is to follow the data. Extract, manipulate, maintain and report on the data required for lease underwriting...",90000.0,mid_level,http://www.indeed.com/rc/clk?jk=a35a417e7ecb1dea&fccid=1a91389b159df008,"Draper, UT",1 day ago,,,Data Scientist / Statistician
