,company,description,est_salary,link,location,post_time,real_salary_lower,real_salary_upper,title
196,MsgAI,"Data Scientist / Machine Learning / Deep Learning / NLP full time position in Palo Alto. As a Data Scientist, you will collaborate closely with developers and...",150000.0,http://www.indeed.com/rc/clk?jk=fbf08b191cea0200&fccid=d4ada66cd40fb170,"San Francisco, CA",24 days ago,,,Data Scientist / Machine Learning / Deep Learning / NLP
197,Ticketfly,"Ticketfly is seeking an experienced Data Scientist to join the Data Science team. Collaborate effectively with engineers, data scientists, product managers and...",150000.0,http://www.indeed.com/rc/clk?jk=de6e69293a885e10&fccid=5295a7f47ed8d2fa,"San Francisco, CA",22 days ago,,,Senior Data Scientist
198,Apple,"You are a leader with track record of attracting, retaining, and growing highly skilled data engineers and data scientists to create a self-organized and highly...",150000.0,http://www.indeed.com/rc/clk?jk=853ca032392bd3ee&fccid=c1099851e9794854,"Santa Clara Valley, CA",25 days ago,,,Data Engineering Manager
199,Princeton Consulting,Ability to visualize and communicate data science concepts to other team members and the business. With that being said an ideal candidate should have...,150000.0,http://www.indeed.com/rc/clk?jk=008d280b0d64cc33&fccid=994a16442d5df26d,"New York, NY 10018 (Clinton area)",21 days ago,100000.0,200000.0,Data Scientist
200,Selby Jennings,"Data Scientist – Big Data/Artificial Intelligence. Build data pipelines using big data technologies like Hadoop, Spark, etc....",150000.0,http://www.indeed.com/rc/clk?jk=c539cc07d99688d1&fccid=e46dcf251ad893cd,"Chicago, IL",26 days ago,135000.0,165000.0,Data Scientist – Big Data/Artificial Intelligence
201,Strategic Employment Partners,Mentor and lead a team of Junior Data Scientists. Experience with data modeling as well as data engineering....,150000.0,http://www.indeed.com/rc/clk?jk=f2af788f1aa39b02&fccid=ae836b4513efc3af,"Cambridge, MA",21 days ago,150000.0,,Lead Data Scientist
202,iCIMS,"Working closely with the data engineers and scientists, you will help translate data analysis into the development of our platform....",150000.0,http://www.indeed.com/rc/clk?jk=4b502022cbb4c797&fccid=6b2a588778cfa2b0,"Matawan, NJ",25 days ago,,,"Manager, Products (Insights)"
203,Vencore,"Demonstrated experience performing data assessment, data engineering, modeling and analytics to enable new methodologies for end user analysts, data scientists,...",150000.0,http://www.indeed.com/rc/clk?jk=78fd6e9b588cf46e&fccid=1cb811e40902c620,"Chantilly, VA",24 days ago,,,Data Engineering Lead
204,Viacom,5+ years of experience managing/leading a team of data scientists with a track record of overseeing multiple data science and machine learning projects at all...,150000.0,http://www.indeed.com/rc/clk?jk=537da2c86c9cf905&fccid=ae0c894528aa6eee,"New York, NY",27 days ago,,,"VICE PRESIDENT, MEASUREMENT & DATA SCIENCE"
205,Zymergen,"Our software engineering team includes approximately 25 engineers, data scientists, and managers. A Laboratory Information Management System (LIMS) that...",150000.0,http://www.indeed.com/rc/clk?jk=29fe1f6648485678&fccid=c2aed722996a4145,"Emeryville, CA 94608",21 days ago,,,"VP, Software Engineering"
